"","x"
"369",1.98757830496106e-08
"370",1.9303634921533e-08
"371",1.80318500921099e-08
"372",1.89511331188093e-08
"373",1.90644955548866e-08
"374",1.90954796983641e-08
"375",1.91046307539125e-08
"376",1.83591898722168e-08
"377",1.87038754562872e-08
"378",1.99913619670196e-08
"379",2.07422127165479e-08
"380",1.97452645319603e-08
"381",1.9039897752216e-08
"382",1.94892913387649e-08
"383",1.9901400433556e-08
"384",2.1431483350581e-08
"385",2.02928932825699e-08
"386",1.99746684563197e-08
"387",1.93625995739327e-08
"388",2.0289005400403e-08
"389",2.02486657483292e-08
"390",2.01556307382072e-08
"391",1.99422401628993e-08
"392",1.91837515442519e-08
"393",1.97521439279397e-08
"394",2.03066876075986e-08
"395",2.14543231028971e-08
"396",2.03279386917705e-08
"397",2.11947941104116e-08
"398",2.12607560920438e-08
"399",2.15069489112916e-08
"400",2.0085709747602e-08
"401",2.03527730405032e-08
"402",1.98258046374235e-08
"403",2.09459956823183e-08
"404",2.08414208897809e-08
"405",2.19364591486141e-08
"406",2.00246686942736e-08
"407",2.10862750492347e-08
"408",2.00118173590201e-08
"409",2.10632534724244e-08
"410",2.13305942510302e-08
"411",2.27586082855166e-08
"412",2.14575331055412e-08
"413",2.1081483929322e-08
"414",2.20436359355049e-08
"415",2.34736440601016e-08
"416",2.16363837342085e-08
"417",2.19664453181825e-08
"418",2.08375571586236e-08
"419",2.14943076821289e-08
"420",2.18909178238566e-08
"421",2.2818429906799e-08
"422",2.15937025873856e-08
"423",2.29317092095777e-08
"424",2.26701944431299e-08
"425",2.34426112868592e-08
"426",2.1469189004008e-08
"427",2.16772397367421e-08
"428",2.38475211269673e-08
"429",2.2292080928682e-08
"430",2.36462500841603e-08
"431",2.42100511529676e-08
"432",2.41609956338129e-08
"433",2.32095002065546e-08
"434",2.39602856152323e-08
"435",2.35046612059722e-08
"436",2.51714177623793e-08
"437",2.34312307566368e-08
"438",2.32205021461391e-08
"439",2.36793863049417e-08
"440",2.39370108961275e-08
"441",2.42321295281225e-08
"442",2.28222536225023e-08
"443",2.39295524313089e-08
"444",2.56299423408926e-08
"445",2.39164109605034e-08
"446",2.63798545153928e-08
"447",2.58234276895914e-08
"448",2.75818752059522e-08
"449",2.50636934785318e-08
"450",2.52381878512719e-08
"451",2.69602817234986e-08
"452",2.83840475036574e-08
"453",2.7326706456734e-08
"454",2.63476194030894e-08
"455",2.64317717581388e-08
"456",2.76876769408705e-08
"457",2.55778108661603e-08
"458",2.9057493115653e-08
"459",2.71694473286628e-08
"460",2.75250142352033e-08
"461",2.79051751990511e-08
"462",2.62512311448187e-08
"463",2.84152822141445e-08
"464",2.76871709668477e-08
"465",2.83039174236145e-08
"466",2.71800816661821e-08
"467",2.99573124444507e-08
"468",2.63034074968507e-08
"469",2.95358016860558e-08
"470",3.01161409412078e-08
"471",3.04471576934313e-08
"472",3.16696175520285e-08
"473",3.09361704452218e-08
"474",2.97025641743955e-08
"475",2.98911072025805e-08
"476",3.17099820816028e-08
"477",3.10851661748632e-08
"478",3.28488945182592e-08
"479",3.08443413787189e-08
"480",3.23034547890719e-08
"481",3.19345933890783e-08
"482",3.27360649354903e-08
"483",3.21468125337021e-08
"484",3.25881922809335e-08
"485",3.32087078602664e-08
"486",3.41824866058543e-08
"487",3.26397550845811e-08
"488",3.39474792400548e-08
"489",3.46068778752611e-08
"490",3.26192510532438e-08
"491",3.44803308699191e-08
"492",3.42851892991228e-08
"493",3.48520348966819e-08
"494",3.60641774524096e-08
"495",3.63651982336801e-08
"496",3.58476459815943e-08
"497",3.61860674096446e-08
"498",3.59279917018884e-08
"499",3.54784851051092e-08
"500",3.58266965035212e-08
"501",3.8962502721857e-08
"502",3.71441880773098e-08
"503",3.83046357988162e-08
"504",3.83125212459701e-08
"505",3.86692093223096e-08
"506",3.91702970580243e-08
"507",3.82746234631223e-08
"508",3.74723735656386e-08
"509",4.02786177053824e-08
"510",4.04982236841458e-08
"511",3.9471980192982e-08
"512",4.15386293243877e-08
"513",4.16117949026427e-08
"514",4.40977363647943e-08
"515",4.25421640698895e-08
"516",4.37275874798723e-08
"517",4.17912599525231e-08
"518",4.33887676983574e-08
"519",4.38151014422245e-08
"520",4.30618883134316e-08
"521",4.42315688954952e-08
"522",4.56432094444163e-08
"523",4.71983796097188e-08
"524",4.57785910287203e-08
"525",4.19142508846753e-08
"526",4.68508386836445e-08
"527",4.70843560109236e-08
"528",4.64667762543911e-08
"529",4.55795489755858e-08
"530",4.76383696630021e-08
"531",5.00051881879663e-08
"532",4.75932732467336e-08
"533",4.81102794990529e-08
"534",4.65029796539321e-08
"535",5.08496049109548e-08
"536",5.12384821952532e-08
"537",5.18050163915169e-08
"538",5.22238862842819e-08
"539",5.16454785763565e-08
"540",5.21555193218773e-08
"541",5.19465690813621e-08
"542",5.05012991133762e-08
"543",5.41067498664574e-08
"544",5.56998238320294e-08
"545",5.52947366379494e-08
"546",5.38065757619103e-08
"547",5.71414700919541e-08
"548",5.6366002313552e-08
"549",5.77465720537915e-08
"550",5.91754386855863e-08
"551",5.91649461267249e-08
"552",6.13909452746983e-08
"553",6.04648487618795e-08
"554",5.8878393364938e-08
"555",5.99391706980491e-08
"556",6.05319218930113e-08
"557",6.4258404738697e-08
"558",6.37877106147151e-08
"559",6.42143311699451e-08
"560",6.41490365526471e-08
"561",6.48491692709613e-08
"562",6.53550021614509e-08
"563",6.59466607219083e-08
"564",6.67082930076549e-08
"565",6.8030571289011e-08
"566",6.98752016727591e-08
"567",6.93808146059666e-08
"568",7.21351193292556e-08
"569",7.13604530417274e-08
